"high","close","HO","CO","OL","HL","CL","HC","HH","LL","CC","ATR14"
5.9,2.6,3,-1.4,1.4,4.4,0,4.4,0,0.5,2,8.13571429
0.3,0.1,5.9,2.6,2.2,8.1,4.8,3.3,0,1.8,-3,8.37857143
2.2,-2.5,0.3,0.1,4.4,4.7,4.5,0.2,0,-1.2,-0.9,7.67142857
2.7,1,2.2,-2.5,3.6,5.8,1.1,4.7,0,-1.1,2.3,7.14285714
3.7,2.7,2.7,1,1,3.7,2,1.7,0,0.3,-0.6,6.75
4.1,-2.3,3.7,2.7,0.9,4.6,3.6,1,0,-1,-2.6,6.32142857
17.5,13.6,4.1,-2.3,2.5,6.6,0.2,6.4,0,-1.3,2.1,6.20714286
5.1,-5.5,17.5,13.6,1.3,18.8,14.9,3.9,0,1.3,-13.4,6.53571429
0.8,-2.7,5.1,-5.5,6.1,11.2,0.6,10.6,0,-8.5,5.8,6.85714286
3.4,-2.8,0.8,-2.7,6.9,7.7,4.2,3.5,0,6,2.4,6.75
6,5.6,3.4,-2.8,9.8,13.2,7,6.2,0,5.7,2.9,7.47857143
2.9,-5.4,6,5.6,6.5,12.5,12.1,0.4,0,-0.6,-5.7,7.88571429
1.7,-5.6,2.9,-5.4,6.6,9.5,1.2,8.3,0,-5.5,5.4,8.17142857
1.4,-22.3,1.7,-5.6,6.7,8.4,1.1,7.3,0,5.1,5.2,8.51428571
6.8,3.4,1.4,-22.3,26.3,27.7,4,23.7,0,25.1,22.2,10.17857143
9.6,-2.6,6.8,3.4,0,6.8,3.4,3.4,0,-4.2,-3.6,10.1
4.5,1.1,9.6,-2.6,12.4,22,9.8,12.2,0,9.4,3,11.33571429
13.9,13.9,4.5,1.1,2.3,6.8,3.4,3.4,0,-7.3,-0.9,11.40714286
0.1,0.1,13.9,13.9,0.7,14.6,14.6,0,0,-3.2,-14.4,12.18571429
0.4,-2.3,0.1,0.1,11.6,11.7,11.7,0,0,-2.8,0.1,12.7
11.4,7.7,0.4,-2.3,6.4,6.8,4.1,2.7,0,-5.6,2,12.71428571
1.4,-3.5,11.4,7.7,2.7,14.1,10.4,3.7,0,-1.8,-8.1,12.37857143
4.1,2.2,1.4,-3.5,7.1,8.5,3.6,4.9,0,-3.4,3.4,12.18571429
12,11.2,4.1,2.2,2.6,6.7,4.8,1.9,0,-0.9,-2.1,12.11428571
3.5,-7.8,12,11.2,0.2,12.2,11.4,0.8,0,-4.7,-11.3,12.04285714
5.5,4.1,3.5,-7.8,8,11.5,0.2,11.3,0,-3.2,8,11.97142857
1,-5.4,5.5,4.1,0.4,5.9,4.5,1.4,0,-0.3,-4.6,11.72142857
5.6,2.5,1,-5.4,6.9,7.9,1.5,6.4,0,2.3,5.3,11.68571429
2.1,-2.5,5.6,2.5,4.2,9.8,6.7,3.1,0,2.8,-2.4,10.40714286
