DMM LUCRO
0.00005076 11.6
0.00019906 13.45
-0.00015164 -50
0.00025666 13.8
-0.00009463 15.7
-0.00025129 12.15
0.00005355 -50
0.00025649 3.7
0.00007250 10.6
0.00015315 11.1
0.00007794 11.15
-0.00023274 -50
-0.00020577 10.2
-0.00017042 10.2
-0.00022697 -46.2
-0.00001284 -50
0.00016413 10.4
0.00043682 11.7
0.00007324 11.9
0.00006194 -28.7
-0.00015362 12.7
0.00028002 10.05
-0.00024827 10.2
-0.00010052 -50
0.00038082 12.75
0.00001724 -50
-0.00012393 13.9
-0.00011668 12.4
-0.00000291 -28.1
0.00029624 13.3
0.00015230 -50
-0.00029731 12.3
-0.00012893 10.65
-0.00023086 10.55
-0.00016987 10.55
0.00014088 12.75
0.00015915 10.75
0.00012838 11.75
0.00017319 10.85
-0.00034236 -40.9
0.00010907 -50
-0.00000135 12.65
-0.00015873 -28.3
0.00033762 12.2
-0.00027534 -50
-0.00005148 12.65
0.00017983 -36
-0.00002225 10
0.00068343 -50
-0.00005574 -50
-0.00008691 8.3
-0.00036369 -50
0.00019056 13.45
0.00048517 11.1
-0.00052766 -50
0.00032579 13.55
-0.00014629 -29.7
0.00012088 11.75
-0.00057326 -50
-0.00010026 17.25
-0.00075455 -50
0.00024498 18.3
-0.00031726 10.85
-0.00063057 12.1
-0.00004943 13.7
-0.00028628 -50
0.00050185 10.4
0.00012999 -36.5
0.00002420 -36.5
-0.00005876 4
0.00021782 -50
0.00012774 13.45
-0.00007387 10.5
-0.00007080 -50
-0.00005785 10.4
-0.00010098 -50
-0.00014822 10.8
0.00015927 13.8
0.00032873 11.35
-0.00048531 -50
0.00020524 -16.6
0.00019793 11.35
0.00015211 11.1
0.00015837 12.45
0.00004257 12.75
0.00009552 -50
0.00025286 11
0.00047243 -30.5
-0.00041459 15.35
-0.00038598 10.95
0.00012766 -50
0.00008509 11
0.00031536 10.65
-0.00015668 15.5
0.00000123 13.8
-0.00015851 11.4
-0.00016960 11.4
-0.00054532 13.3
0.00041356 -40.1
-0.00000933 10.7
0.00038536 12.65
-0.00011004 -50
0.00019480 11.75
-0.00031345 10
0.00006672 -16
0.00009281 12.7
0.00007758 10.95
0.00026571 10.9
-0.00045778 11.1
-0.00017734 -3
-0.00010705 -50
-0.00054179 -50
0.00001459 12.95
0.00029607 16.3
-0.00014505 21.1
-0.00039954 -26
0.00018853 10.4
-0.00007129 -50
-0.00016935 11.4
-0.00001006 10.7
-0.00016903 -26.6
0.00002870 -13.6
-0.00004155 -50
-0.00028252 -22.3
0.00010394 14.95
-0.00013763 11.1
0.00018316 10.25
-0.00016486 10.45
0.00000623 10.55
-0.00025626 11.5
-0.00040776 11.6
0.00008229 13.35
0.00017293 -43.3
-0.00002864 12.8
-0.00028010 14.1
0.00051243 11.6
0.00014846 10.25
0.00027335 18.85
0.00005818 10.8
0.00024347 12.85
0.00005898 -50
-0.00010447 10.65
-0.00017778 0
-0.00040651 11.6
-0.00039158 17.55
0.00024991 -50
0.00009581 10.4
0.00001311 16.05
0.00024010 12.75
-0.00056470 14.6
-0.00031457 -50
0.00053075 -50
0.00014559 -4.9
-0.00004402 14.4
0.00040216 10.8
0.00045523 10.55
0.00000812 -50
-0.00002901 65.6
0.00033694 11
-0.00014761 17.05
0.00035349 14.35
-0.00022375 12.35
-0.00050318 -50
-0.00025970 12.9
0.00007800 -24.6
0.00000724 15
0.00010881 -50
-0.00048246 11.6
-0.00035413 11.6
-0.00017299 10.55
0.00059290 -50
0.00011165 12.55
-0.00027332 10.4
-0.00006899 14.45
0.00056747 11.5
-0.00015028 11.4
-0.00035201 13.75
-0.00034533 13.75
0.00060753 10.75
-0.00020814 13.7
-0.00096345 14.15
0.00048668 -50
-0.00000681 -38.5
-0.00052392 13.5
0.00007770 -50
-0.00025453 14.15
-0.00021413 -23.2
-0.00011582 16.85
-0.00021154 10.45
0.00050760 12.1
-0.00008912 10.95
-0.00031375 -2.9
-0.00022715 17.6
-0.00058084 11.2
-0.00097019 11.75
-0.00009942 -42.4
-0.00039061 10.5
0.00027428 11
-0.00004829 12.05
0.00010340 -50
0.00017501 12.05
-0.00000253 -50
-0.00010994 13.9
0.00005592 11.4
0.00031448 -5.8
0.00030571 -50
-0.00012511 12.4
-0.00000600 -9
0.00007021 12.8
0.00017223 0.9
-0.00004200 11.4
-0.00027128 -6.9
-0.00018179 13.8
-0.00008243 13.2
-0.00001961 -14.4
0.00010881 14.2
0.00014146 -50
-0.00052429 14.55
-0.00008501 10.4
-0.00024162 -5.2
0.00003378 12.85
-0.00003867 -50
0.00023311 -50
-0.00011688 -11.4
0.00001507 -50
0.00058969 11.65
-0.00008102 11.7
0.00023729 -50
-0.00024394 -38.4
0.00034855 -44
-0.00020134 10.65
-0.00010650 -34.5
0.00004313 11.35
0.00018500 12.35
-0.00019509 -35
0.00030163 10.2
0.00027735 11.1
-0.00007299 -50
-0.00001059 -50
0.00043267 -18.2
0.00007578 -50
-0.00003861 12.6
0.00013217 10.35
0.00032759 11.6
0.00113876 12.1
0.00030450 12.8
0.00033340 14.3
-0.00030179 -11.4
0.00077650 11.1
-0.00021773 -50
-0.00028173 21.1
-0.00064560 -18.7
0.00005483 -50
0.00010343 10.9
-0.00002118 10.9
-0.00004886 -29.3
-0.00034021 12.55
0.00020989 14.3
0.00011617 11.2
-0.00005240 -32.5
-0.00013358 -50
0.00038614 10.35
-0.00019512 15.85
0.00028570 11.95
-0.00017627 14.85
0.00053341 14.6
-0.00046211 -50
0.00053957 14.05
-0.00007915 11.35
-0.00034155 -50
-0.00057182 -50
-0.00004330 -15
-0.00044266 10.75
-0.00027482 -50
-0.00007498 10.15
0.00001628 10.3
0.00015954 -50
0.00019207 10.1
0.00004623 11.35
-0.00036864 10.55
-0.00020643 -50
-0.00036636 10.3
0.00017066 -22.5
0.00006471 12.05
-0.00006171 11.7
-0.00107027 12.6
-0.00078486 -25.4
-0.00005188 -33.8
0.00010027 10.5
0.00040173 13.55
-0.00006977 10.5
0.00088435 13.55
0.00032075 11.75
-0.00038413 13.25
-0.00018327 -50
0.00004562 11.35
-0.00003072 11.5
-0.00053578 -10.9
-0.00031122 -44.4
0.00013443 -50
0.00024402 -50
-0.00011791 -50
0.00030643 -27.6
-0.00004076 14.6
-0.00021079 18.95
-0.00043343 -50
-0.00011482 11.8
0.00064394 16.25
-0.00018629 14.25
-0.00024353 14.3
-0.00017585 10.25
0.00006965 10.2
-0.00040570 -6.7
-0.00008367 13.8
-0.00040371 -50
0.00014952 11.95
-0.00030298 14.55
0.00050733 17.9
0.00069309 -7.8
-0.00079217 -16.2
-0.00006205 12.95
-0.00010012 -50
0.00003947 11.7
0.00018606 10.65
0.00025671 12.5
